訂單號碼,客戶編號,員工編號,訂單日期,要貨日期,送貨日期,送貨方式,運費,收貨人,送貨地址,送貨城市,送貨行政區,送貨郵遞區號,送貨國家地區
10248,VINET,5,2002-07-04 00:00:00,2002-08-01 00:00:00,2002-07-16 00:00:00,3,32.38,余小姐,台北市北平東路24號3樓之一,台北市,北平,51100,
10249,TOMSP,6,2002-07-05 00:00:00,2002-08-16 00:00:00,2002-07-10 00:00:00,1,11.61,謝小姐,高雄市中正路一段12號,高雄市,中正,44087,
10250,HANAR,4,2002-07-08 00:00:00,2002-08-05 00:00:00,2002-07-12 00:00:00,2,65.83,謝小姐,高雄市中正路一段12號,高雄市,中正,05454,
10251,VICTE,3,2002-07-08 00:00:00,2002-08-05 00:00:00,2002-07-15 00:00:00,1,41.34,陳先生,台北市北平東路24號,台北市,北平,69004,
10252,SUPRD,4,2002-07-09 00:00:00,2002-08-06 00:00:00,2002-07-11 00:00:00,2,51.3,劉先生,桃園縣富國路42號,桃園縣,富國,16000,
10253,HANAR,3,2002-07-10 00:00:00,2002-07-24 00:00:00,2002-07-16 00:00:00,2,58.17,謝小姐,高雄市中正路一段12號,高雄市,中正,05454,
10254,CHOPS,5,2002-07-11 00:00:00,2002-08-08 00:00:00,2002-07-23 00:00:00,2,22.98,林小姐,屏東市中山路7號,屏東市,中山,30120,
10255,RICSU,9,2002-07-12 00:00:00,2002-08-09 00:00:00,2002-07-15 00:00:00,3,148.33,方先生,新竹市永平路一段1號,新竹市,永平,12040,
10256,WELLI,3,2002-07-15 00:00:00,2002-08-12 00:00:00,2002-07-17 00:00:00,2,13.97,何先生,南投縣南投路5號,南投縣,南投,08737,
10257,HILAA,4,2002-07-16 00:00:00,2002-08-13 00:00:00,2002-07-22 00:00:00,3,81.91,王先生,台北縣中新路11號,台北縣,中新,50220,
10258,ERNSH,1,2002-07-17 00:00:00,2002-08-14 00:00:00,2002-07-23 00:00:00,1,140.51,王先生,台北縣北新路11號,台北縣,北新,80100,
10259,CENTC,4,2002-07-18 00:00:00,2002-08-15 00:00:00,2002-07-25 00:00:00,3,3.25,林小姐,屏東縣永大路4號,屏東縣,永大,05022,
10260,OTTIK,4,2002-07-19 00:00:00,2002-08-16 00:00:00,2002-07-29 00:00:00,1,55.09,徐文彬,新竹市竹北路8號,新竹市,竹北,50739,
10261,QUEDE,4,2002-07-19 00:00:00,2002-08-16 00:00:00,2002-07-30 00:00:00,2,3.05,劉先生,桃園縣富國路42號,桃園縣,富國,02389,
10262,RATTC,8,2002-07-22 00:00:00,2002-08-19 00:00:00,2002-07-25 00:00:00,3,48.29,王先生,台北縣中新路11號,台北縣,中新,87110,
10263,ERNSH,9,2002-07-23 00:00:00,2002-08-20 00:00:00,2002-07-31 00:00:00,3,146.06,王先生,台北縣北新路11號,台北縣,北新,80107,
10264,FOLKO,6,2002-07-24 00:00:00,2002-08-21 00:00:00,2002-08-23 00:00:00,3,3.67,陳先生,台北市北平東路64號,台北市,北平,84467,
10265,BLONP,2,2002-07-25 00:00:00,2002-08-22 00:00:00,2002-08-12 00:00:00,1,55.28,方先生,新竹市永平路一段1號,新竹市,永平,67000,
